Ind,sexe,age,age_rec,prof,WIP.util.Internet,confirm,internaute,internaute2,WIP.outil.pc,WIP.outil.smart,WIP.outil.tabl,WIP.outil.consol,WIP.outil.tv,lieu.connex_1,lieu.connex_2,lieu.connex_3,lieu.connex_4,lieu.connex_5,lieu.connex_6,lieu.connex_7,lieu.connex_8,lieu.connex_9,satisf.connex,debit.renonce_1,debit.renonce_2,debit.renonce_3,debit.renonce_4,debit.renonce_5,debit.renonce_6,debit.renonce_7,debit.renonce_8,debit.renonce_9,debit.renonce_10,info.reso_1,info.reso_2,info.reso_3,info.reso_4,info.reso_5,satisf.info.reso,smartph,abo.3g,connex.smatph,satisf.conn.3g,appren.info.reseau,appren.info.sup.ligne,appren.info.sup.hrsligne,appren.info.form,appren.info.seul,appren.info.autre,appren.info.sr,forma.info_1,forma.info_2,forma.info_3,forma.info_4,orga.forma_1,orga.forma_2,orga.forma_3,orga.forma_4,orga.forma_5,support.info.foyer,support.info.hrsfoyer,support.info.ent,support.info.ind,support.info.forum,support.info.seul,support.info.autre,support.info.sr,aise.internet,certif.info,motiv.certif_1,motiv.certif_2,motiv.certif_3,motiv.certif_4,motiv.certif_5,motiv.certif_6,motiv.certif_7,connai.EPN,freq.EPN,motiv.freq.EPN_1,motiv.freq.EPN_2,motiv.freq.EPN_3,motiv.freq.EPN_4,motiv.freq.EPN_5,motiv.freq.EPN_6,motiv.non.freq.EPN_1,motiv.non.freq.EPN_2,motiv.non.freq.EPN_3,motiv.non.freq.EPN_4,motiv.non.freq.EPN_5,motiv.non.freq.EPN_6,motiv.non.freq.EPN_7,motiv.non.freq.EPN_8,WIP.debut.int,WIP.debut.Internet_mois,WIP.debut.Internet_annee,compte.actif.mail.perso,compte.actif.mail.pro,compte.actif.mail.famille,compte.actif.mail.asso,compte.actif.rsn.perso,compte.actif.rsn.pro,util.trav,entour.int,util.int.avant,duree.util.int,cesse.int,WIP.frein.int,sans.int_1,sans.int_2,sans.int_3,sans.int_4,sans.int_5,sans.int_6,sans.int_7,sans.int_8,sans.int_9,sans.int_10,sans.int_11,int.faciliterait_1,int.faciliterait_2,int.faciliterait_3,int.faciliterait_4,int.faciliterait_5,int.faciliterait_6,int.faciliterait_7,int.faciliterait_8,int.faciliterait_9,int.faciliterait_10,devoir.util.int,WIP.freq.com.mail,WIP.freq.com_2,WIP.freq.com_3,WIP.freq.com_4,WIP.freq.com_5,WIP.freq.info.actu,WIP.freq.info_2,WIP.freq.info_3,WIP.freq.info.sante,WIP.freq.info_5,WIP.freq.divert_1,WIP.freq.divert_2,WIP.freq.divert_3,WIP.freq.divert_4,WIP.freq.divert_5,WIP.freq.divert_6,WIP.freq.appren.def.mot,WIP.freq.appren.verif.info,WIP.freq.appren.app.sui,WIP.freq.appren.scol,WIP.freq.appren.mooc,WIP.freq.appren.app.chose,WIP.freq.conso_1,WIP.freq.conso_2,WIP.freq.conso_3,WIP.freq.conso_4,WIP.freq.conso_5,WIP.freq.conso_6,WIP.freq.conso_7,WIP.freq.conso_8,WIP.freq.conso_9,WIP.freq.conso_10,pouv.achat_1,pouv.achat_2,pouv.achat_3,admin,orgadmin_1,orgadmin_2,orgadmin_3,orgadmin_4,orgadmin_5,orgadmin_6,orgadmin_7,orgadmin_8,orgadmin_9,diff.admin,orgadmin.diff_1,orgadmin.diff_2,orgadmin.diff_3,orgadmin.diff_4,orgadmin.diff_5,orgadmin.diff_6,orgadmin.diff_7,orgadmin.diff_8,orgadmin.diff_9,orgadmin.diff_10,resol.diff.admin_1,resol.diff.admin_2,resol.diff.admin_3,resol.diff.admin_4,resol.diff.admin_5,resol.diff.admin_6,facil.admin_1,facil.admin_2,facil.admin_3,facil.socio_1,facil.socio_2,facil.socio.mm.situ,facil.socio.echg.facil,facil.socio.contact.inc,facil.socio.rais_1,facil.socio.rais_2,facil.socio.rais_3,facil.socio.rais_4,facil.socio.rais_5,facil.socio.rais_6,facil.socio.rais_7,source.info.loisir,source.info.infor,source.info.droit,source.info.orien,source.info.sante,util.sourcinfo.loisir,util.sourcinfo.infor,util.sourcinfo.droit,util.sourcinfo.orien,util.sourcinfo.sante,contrib,Skills.1,Skills.2,Skills.3,Skills.4,Skills.5,Skills.6,Skills.7,Skills.8,Skills.9,Skills.10,Skills.11,Skills.12,Skills.13,Skills.14,Skills.15,Skills.16,Skills.17,Skills.18,Skills.19,Skills.20,Skills.21,engag.pol_1,engag.pol_2,engag.pol_3,engag.pol_4,WIP.impact.comp.pol,WIP.impact.pol_2,WIP.impact.pol_3,WIP.impact.pol_4,WIP.expr.pol_1,WIP.expr.pol_2,WIP.expr.pol_3,WIP.expr.pol_4,WIP.expr.pol_5,WIP.int.fiable,WIP.cybervict_1,WIP.cybervict_2,WIP.cybervict_3,WIP.cybervict_4,WIP.cybervict_5,WIP.cybervict_6,WIP.vict.privacy,WIP.csq.privacy_1,WIP.csq.privacy_2,WIP.csq.privacy_3,WIP.csq.privacy_4,WIP.csq.privacy_5,WIP.csq.privacy_6,WIP.csq.privacy_7,WIP.csq.privacy_8,WIP.csq.privacy_9,WIP.privacy_1,WIP.privacy_2,WIP.privacy_3,WIP.privacy_4,WIP.privacy_5,WIP.privacy_6,WIP.privacy_7,opport.int_1,opport.int_2,opport.int_3,opport.int_4,opport.int_5,opport.int_6,opport.int_7,nv.vie,etude,WIP.sans.profession,WIP.statut.fam,nb.foyer,nb.mineur.foyer,nb.ado.foyer,WIP.revenu,actu,ecrit
768,Femme,22,18 a 24 ans,Eleve lyceen ou etudiant,Oui,,oui,Not mentioned,tlj,pfpj,jm,tls,jm,Mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Tres satisfaisante,,,,,,,,,,,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Oui plutôt,Oui,Oui mais avec une limitation,Oui majoritairement avec la 3g4g ou autre connexion,Tres satisfaisante,non,non,non,oui,oui,non,non,Mentioned,Not mentioned,Not mentioned,Not mentioned,,,,,,oui,non,non,non,non,oui,non,non,Tres a laise,Oui,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Oui,Non jm,,,,,,,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,+1an,NA,10,oui,non,non,non,oui,non,,bcp.pers,,,,,,,,,,,,,,,,,,,,,,,,,,,tlj,ms,pfpj,tlm,tlm,pfpj,ms,ms,ms,tlm,tlj,tlj,tlj,jm,jm,jm,tls,tlj,tlj,tlj,jm,ms,ms,tlm,ms,ms,tlm,jm,jm,jm,tls,jm,4,,,Oui,Mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Non,,,,,,,,,,,,,,,,,Oui beaucoup,Oui beaucoup,Non,bcp,bcp,bcp,bcp,1peu,Mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,internet,internet,internet,internet,internet,utile,utile,utile,utile,utile,lecteur,++,++,++,+,++,++,++,++,++,++,++,++,++,++,--,++,--,++,++,++,++,rarement,jm,jm,rarement,4sur5,4,4,3,2,4,2,2,4,3sur5,non,non,non,oui,non,non,Non,,,,,,,,,,2,4,4,4,4,2,3,Non,Oui un peu,Oui un peu,Non,Non,Non,Oui un peu,5sur5,bac+3,,celib,2,0,NA,-1400,pfpj,pfpj
769,Homme,42,35 a 49 ans,Cadres et professions intellectuelles superieures,Oui,,oui,Not mentioned,pfpj,pfpj,pfpj,jm,pfpj,Mentioned,Mentioned,Not mentioned,Mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Satisfaisante,,,,,,,,,,,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Oui plutôt,Oui,Oui mais avec une limitation,Oui majoritairement en wifi,Satisfaisante,non,non,non,non,oui,non,non,,,,,,,,,,non,non,non,non,non,oui,non,non,A laise,Non,,,,,,,,Oui,Non jm,,,,,,,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,+1an,NA,17,oui,oui,non,non,non,oui,pfpj,bcp.pers,,,,,,,,,,,,,,,,,,,,,,,,,,,pfpj,ms,ms,ms,ms,pfpj,tlm,tls,ms,tls,jm,tls,tls,jm,jm,jm,ms,tlj,tls,jm,ms,ms,tlm,tlm,jm,ms,ms,jm,tlm,ms,jm,jm,pas du tout daccord,pas du tout daccord,pas du tout daccord,Oui,Not mentioned,Mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Non,,,,,,,,,,,,,,,,,Oui beaucoup,Oui beaucoup,Non,bcp,non,non,non,non,,,,,,,,les.2,hrsligne,les.2,les.2,hrsligne,utile,,utile,utile,,ni.ni,++,++,++,++,++,++,++,++,++,++,++,++,++,++,++,++,--,++,++,++,++,jm,rarement,jm,jm,4sur5,3,4,3,4,4,4,Pas du tout daccord,Pas du tout daccord,4sur5,non,non,non,oui,non,non,Non,,,,,,,,,,4,2,2,3,Tout a fait daccord,4,4,Non,Oui un peu,Oui un peu,Non,Oui un peu,Oui un peu,Non,2sur5,bac+3,,marie,4,2,2,4000,pfpj,pfpj
770,Homme,20,18 a 24 ans,Eleve lyceen ou etudiant,Oui,,oui,Not mentioned,pfpj,pfpj,jm,tlm,tlj,Mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Satisfaisante,,,,,,,,,,,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Non pas assez,Oui,Oui mais avec une limitation,Oui autant lun que lautre,Satisfaisante,oui,non,non,non,oui,non,non,,,,,,,,,,oui,oui,non,non,non,oui,non,non,A laise,Oui,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Oui,Oui regulierement,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,,,,,,,,,+1an,NA,10,oui,oui,sans,sans,oui,sans,,bcp.pers,,,,,,,,,,,,,,,,,,,,,,,,,,,tls,ms,pfpj,ms,tlm,tls,ms,jm,ms,tlm,tls,pfpj,tlj,jm,jm,jm,tls,tls,tls,pfpj,jm,tlm,tls,tlm,ms,jm,tlj,jm,ms,ms,jm,jm,3,4,3,Oui,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Non,,,,,,,,,,,,,,,,,Oui un peu,Oui beaucoup,Non,bcp,bcp,1peu,1peu,1peu,Not mentioned,Mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,internet,internet,les.2,les.2,les.2,utile-,utile,utile+,utile+,utile+,lecteur,+,++,++,++,+,+,+,+,+,++,++,++,++,-,-,+,--,++,++,++,++,jm,rarement,jm,rarement,3sur5,2,3,2,4,3,2,2,2,3sur5,oui,non,non,non,oui,non,Oui mais cela ne vous a pas cree de problemes,,,,,,,,,,Pas du tout daccord,3,4,4,4,2,Pas du tout daccord,Oui beaucoup,Oui beaucoup,Non,Non,Oui beaucoup,Oui un peu,Oui beaucoup,2sur5,bac,,celib,3,0,NA,nsp,pfpj,tlj
771,Femme,59,50 a 64 ans,Ouvriers,Oui,,oui,Not mentioned,tlm,tls,tlj,jm,jm,Mentioned,Mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Tres satisfaisante,,,,,,,,,,,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Non pas du tout,Oui,Oui mais avec une limitation,Oui majoritairement avec la 3g4g ou autre connexion,Tres satisfaisante,oui,non,non,non,oui,non,non,,,,,,,,,,non,non,oui,oui,non,non,non,non,A laise,Non,,,,,,,,Non mais vous avez deja entendu parler de ce type de lieux.,,,,,,,,,,,,,,,,+1an,NA,8,non,non,oui,non,oui,non,jm,bcp.pers,,,,,,,,,,,,,,,,,,,,,,,,,,,tlj,ms,tlm,jm,jm,tlj,ms,jm,jm,ms,jm,jm,tlm,jm,jm,jm,tls,tlj,tlj,jm,jm,jm,jm,ms,jm,jm,tlm,jm,jm,jm,jm,jm,pas du tout daccord,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bcp,bcp,1peu,1peu,bcp,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,les.2,cherch.pas,cherch.pas,cherch.pas,cherch.pas,utile,,,,,lecteur,+,+,+,-,+,+,+,-,comprend.pas,++,++,--,--,--,--,--,--,--,--,--,--,jm,jm,jm,jm,1sur5,Pas du tout daccord,Pas du tout daccord,Pas du tout daccord,Tout a fait daccord,4,4,3,nsp,1sur5,nsp,non,non,non,non,non,Non,,,,,,,,,,nsp,Tout a fait daccord,Tout a fait daccord,Tout a fait daccord,2,nsp,Pas du tout daccord,Non,Non,Non,Non,Non,Non,Non,3sur5,cap.bep,,marie,2,0,NA,2000-2900,tlj,jm
772,Femme,47,35 a 49 ans,Ouvriers,Oui,,oui,Not mentioned,pfpj,jm,jm,jm,jm,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Tres satisfaisante,,,,,,,,,,,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Oui plutôt,Oui,Oui mais avec une limitation,Non jm,,non,non,non,non,oui,non,non,,,,,,,,,,non,non,oui,non,non,non,non,non,Tres a laise,Non,,,,,,,,Non mais vous avez deja entendu parler de ce type de lieux.,,,,,,,,,,,,,,,,+1an,NA,10,oui,non,non,non,oui,non,tlj,bcp.pers,,,,,,,,,,,,,,,,,,,,,,,,,,,pfpj,jm,jm,jm,jm,tlj,jm,tlj,jm,tlm,tls,tls,jm,jm,jm,jm,ms,ms,jm,tls,jm,jm,jm,jm,jm,jm,tlm,jm,jm,jm,jm,jm,pas du tout daccord,,,Oui,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Non,,,,,,,,,,,,,,,,,Oui beaucoup,Oui beaucoup,Non,bcp,1peu,1peu,bcp,non,,,,,,,,internet,internet,internet,internet,hrsligne,utile+,utile+,utile+,utile,,lecteur,++,++,++,+,++,++,++,++,nsp,++,++,++,++,+,-,-,--,--,++,--,--,jm,jm,jm,jm,3sur5,3,Pas du tout daccord,2,4,3,2,2,Tout a fait daccord,2sur5,oui,non,non,non,oui,non,Non,,,,,,,,,,Pas du tout daccord,4,2,4,Tout a fait daccord,2,Tout a fait daccord,Oui un peu,Oui un peu,Non,Non,Oui un peu,Non,Oui un peu,3sur5,niv.col,,concub,2,0,NA,1400-2000,tlj,jm
773,Femme,88,65 ans et plus,Retraite ou pre retraite,Non,Non,non,Mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,Non,,,Vous ne savez pas comment utiliser Internet,Non cest faux vous concernant,Non cest faux vous concernant,Non cest faux vous concernant,Non cest faux vous concernant,Non cest faux vous concernant,Oui cest tout a fait vrai vous concernant,Non cest faux vous concernant,Non cest faux vous concernant,Non cest faux vous concernant,Non cest faux vous concernant,Non cest faux vous concernant,,,,,,,,,,,Non cela ne vous est jm arrive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,comprend.pas,comprend.pas,comprend.pas,comprend.pas,--,--,--,--,--,comprend.pas,comprend.pas,comprend.pas,comprend.pas,comprend.pas,comprend.pas,comprend.pas,comprend.pas,comprend.pas,comprend.pas,comprend.pas,comprend.pas,,,,,1sur5,Pas du tout daccord,Pas du tout daccord,Pas du tout daccord,4,nsp,nsp,nsp,nsp,nsp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4sur5,niv.col,,divorce,2,0,NA,2000-2900,tlj,jm
774,Homme,67,65 ans et plus,Retraite ou pre retraite,Oui,,oui,Not mentioned,pfpj,pfpj,jm,jm,jm,Mentioned,Mentioned,Not mentioned,Not mentioned,Mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Tres satisfaisante,,,,,,,,,,,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Oui tout a fait,Oui,Oui illimite,Oui majoritairement avec la 3g4g ou autre connexion,Tres satisfaisante,non,non,oui,non,non,non,non,,,,,,,,,,non,non,non,non,oui,oui,non,non,A laise,Non,,,,,,,,Oui,Oui rarement (une ou quelques fois),Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,,,,,,,,,+1an,NA,10,oui,non,non,non,non,non,,bcp.pers,,,,,,,,,,,,,,,,,,,,,,,,,,,pfpj,jm,jm,tlm,tlm,pfpj,tls,jm,tlj,tlm,jm,tlm,tlm,jm,jm,jm,tls,tlj,tls,jm,jm,ms,tls,ms,jm,ms,jm,jm,ms,jm,jm,jm,3,,,Oui,Not mentioned,Not mentioned,Not mentioned,Mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Non,,,,,,,,,,,,,,,,,Oui beaucoup,Oui beaucoup,Non,1peu,bcp,bcp,non,non,,,,,,,,internet,les.2,cherch.pas,cherch.pas,internet,utile+,utile+,,,utile+,lecteur,++,++,++,++,++,++,++,++,++,++,++,+,+,-,--,--,--,++,++,++,++,jm,jm,jm,jm,5sur5,Tout a fait daccord,3,3,3,3,Tout a fait daccord,Pas du tout daccord,Tout a fait daccord,2sur5,oui,non,non,oui,non,non,Non,,,,,,,,,,Tout a fait daccord,3,Tout a fait daccord,Tout a fait daccord,Tout a fait daccord,Tout a fait daccord,3,Oui un peu,Oui beaucoup,Non,Non,Non,Oui un peu,Oui un peu,2sur5,bac+3,,marie,2,0,NA,4000,tlj,ms
775,Homme,33,25 a 34 ans,Ouvriers,Oui,,oui,Not mentioned,pfpj,pfpj,jm,pfpj,pfpj,Mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Tres satisfaisante,,,,,,,,,,,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,nsp,Oui,Oui mais avec une limitation,Oui majoritairement en wifi,Tres satisfaisante,oui,non,non,non,non,non,non,,,,,,,,,,non,oui,non,non,non,non,non,non,Tres a laise,Non,,,,,,,,Non vous navez jm entendu parler de ce type de lieux,,,,,,,,,,,,,,,,+1an,NA,15,oui,non,non,non,oui,non,tlj,bcp.pers,,,,,,,,,,,,,,,,,,,,,,,,,,,pfpj,tls,tls,jm,tls,tls,jm,jm,jm,jm,pfpj,jm,jm,jm,jm,jm,tls,tls,tlm,jm,jm,tls,jm,jm,jm,jm,tlm,jm,jm,jm,jm,jm,nsp,,,Oui,Not mentioned,Mentioned,Not mentioned,Mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Non,,,,,,,,,,,,,,,,,Oui un peu,Non,Oui un peu,1peu,non,non,non,non,,,,,,,,cherch.pas,hrsligne,hrsligne,hrsligne,hrsligne,,,,,,lecteur,++,++,++,++,++,++,++,++,nsp,++,++,++,++,nsp,--,nsp,+,++,++,++,nsp,jm,jm,jm,jm,1sur5,Pas du tout daccord,Pas du tout daccord,Pas du tout daccord,Tout a fait daccord,nsp,Pas du tout daccord,Tout a fait daccord,Pas du tout daccord,1sur5,oui,non,non,oui,non,non,Non,,,,,,,,,,Tout a fait daccord,3,Pas du tout daccord,Pas du tout daccord,Tout a fait daccord,3,Tout a fait daccord,Non,Non,Non,Non,Non,Non,Non,4sur5,cap.bep,,celib,1,NA,NA,-1400,tlm,jm
776,Femme,40,35 a 49 ans,Artisans commercants chefs dentreprise,Oui,,oui,Not mentioned,pfpj,pfpj,jm,jm,jm,Mentioned,Mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Tres satisfaisante,,,,,,,,,,,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Non pas assez,Oui,Oui illimite,Oui majoritairement avec la 3g4g ou autre connexion,Tres satisfaisante,non,non,non,oui,oui,non,non,Mentioned,Mentioned,Not mentioned,Not mentioned,,,,,,non,oui,non,non,non,oui,non,non,Tres a laise,Oui,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Oui,Non jm,,,,,,,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,+1an,NA,18,oui,oui,oui,oui,oui,oui,pfpj,bcp.pers,,,,,,,,,,,,,,,,,,,,,,,,,,,pfpj,pfpj,pfpj,pfpj,pfpj,pfpj,ms,jm,tls,tls,jm,ms,tls,tls,jm,jm,tls,tlj,tls,jm,tls,ms,ms,ms,ms,tlm,tlm,ms,ms,tlm,ms,tlm,tout a fait daccord,tout a fait daccord,tout a fait daccord,Oui,Mentioned,Not mentioned,Mentioned,Mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Non,,,,,,,,,,,,,,,,,Oui beaucoup,Oui beaucoup,Non,bcp,1peu,bcp,bcp,bcp,Not mentioned,Mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,les.2,internet,hrsligne,les.2,les.2,utile,utile,,utile,utile+,les.2,++,++,++,++,++,++,++,++,++,++,++,++,++,++,-,++,--,++,+,++,++,rarement,jm,jm,souvent,3sur5,3,3,3,3,3,3,2,3,3sur5,non,non,oui,non,non,non,Non,,,,,,,,,,3,Tout a fait daccord,Tout a fait daccord,Tout a fait daccord,Tout a fait daccord,4,3,Oui un peu,Oui beaucoup,Non,Non,Oui beaucoup,Oui un peu,Oui un peu,2sur5,bac,,marie,5,3,2,2900-4000,pfpj,pfpj
777,Homme,54,50 a 64 ans,Professions intermediaires,Oui,,oui,Not mentioned,pfpj,pfpj,jm,jm,jm,Mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Peu satisfaisante,Not mentioned,Mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Non pas du tout,Oui,Oui illimite,Oui majoritairement en wifi,Pas du tout satisfaisante,non,non,non,non,oui,non,non,,,,,,,,,,oui,non,non,non,non,non,non,non,A laise,Non,,,,,,,,Non mais vous avez deja entendu parler de ce type de lieux.,,,,,,,,,,,,,,,,+1an,NA,25,oui,oui,oui,non,sans,sans,pfpj,bcp.pers,,,,,,,,,,,,,,,,,,,,,,,,,,,pfpj,ms,jm,jm,jm,tlj,tls,ms,jm,tls,jm,jm,jm,jm,jm,jm,tls,tls,tls,jm,jm,jm,jm,tlm,ms,tls,tlm,jm,tlm,ms,ms,jm,2,tout a fait daccord,pas du tout daccord,Oui,Not mentioned,Mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Mentioned,Not mentioned,Not mentioned,Non,,,,,,,,,,,,,,,,,Oui un peu,Oui un peu,Non,non,non,non,non,non,,,,,,,,internet,cherch.pas,internet,internet,cherch.pas,utile,,utile,utile+,,ni.ni,++,++,++,++,++,++,++,+,++,++,++,++,++,++,--,--,--,--,nsp,++,++,souvent,souvent,jm,jm,3sur5,Tout a fait daccord,Tout a fait daccord,Pas du tout daccord,Tout a fait daccord,Tout a fait daccord,Tout a fait daccord,Pas du tout daccord,Tout a fait daccord,3sur5,non,non,non,non,non,non,Non,,,,,,,,,,Tout a fait daccord,Tout a fait daccord,Tout a fait daccord,Tout a fait daccord,Tout a fait daccord,Pas du tout daccord,Pas du tout daccord,Non,Non,Non,Non,Oui beaucoup,Oui un peu,Oui un peu,3sur5,cap.bep,,concub,5,1,1,1400-2000,pfpj,ms
778,Femme,60,50 a 64 ans,Employes,Oui,,oui,Not mentioned,pfpj,jm,jm,jm,jm,Not mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Satisfaisante,,,,,,,,,,,Not mentioned,Mentioned,Mentioned,Not mentioned,Not mentioned,Oui plutôt,Non,,,,oui,non,oui,non,non,non,non,,,,,,,,,,non,oui,non,oui,non,non,non,non,A laise,Non,,,,,,,,Oui,Non jm,,,,,,,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,+1an,NA,20,nsp,nsp,oui,nsp,nsp,nsp,jm,bn.pers,,,,,,,,,,,,,,,,,,,,,,,,,,,pfpj,ms,jm,ms,ms,jm,jm,jm,tlj,ms,jm,ms,jm,jm,jm,jm,jm,jm,ms,jm,jm,jm,ms,jm,jm,jm,pfpj,jm,jm,jm,jm,tlj,tout a fait daccord,,3,Oui,Not mentioned,Not mentioned,Not mentioned,Mentioned,Mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Non,,,,,,,,,,,,,,,,,Oui un peu,Oui beaucoup,Non,1peu,bcp,non,non,non,,,,,,,,les.2,internet,internet,cherch.pas,internet,utile,utile,utile+,,utile,ni.ni,++,++,++,++,++,++,++,++,+,++,+,+,++,++,-,++,--,--,+,--,--,souvent,souvent,jm,jm,nsp,Tout a fait daccord,Tout a fait daccord,4,Tout a fait daccord,Tout a fait daccord,4,Tout a fait daccord,3,3sur5,non,non,non,non,non,non,Non,,,,,,,,,,Pas du tout daccord,4,Tout a fait daccord,3,Pas du tout daccord,2,4,Non,Oui beaucoup,Oui un peu,Non,Non,Non,Oui beaucoup,3sur5,bac,,marie,2,0,NA,2000-2900,pfpj,ms
779,Homme,68,65 ans et plus,Retraite ou pre retraite,Non,Non,non,Mentioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,Oui,Plus de 3 ans,Plus de 5 ans,Vous navez pas le temps dutiliser Internet,Oui cest tout a fait vrai vous concernant,Non cest faux vous concernant,Non cest faux vous concernant,Non cest faux vous concernant,Non cest faux vous concernant,Oui cest un peu vrai vous concernant,Oui cest un peu vrai vous concernant,Non cest faux vous concernant,Non cest faux vous concernant,Non cest faux vous concernant,Non cest faux vous concernant,,,,,,,,,,,Oui et vous avez demande a quelquun de le faire pour vous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,--,--,--,--,--,--,comprend.pas,--,--,--,--,--,comprend.pas,--,--,--,comprend.pas,--,--,,,,,1sur5,3,2,nsp,Tout a fait daccord,3,4,2,Pas du tout daccord,3sur5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2sur5,bac,,marie,2,0,NA,4000,pfpj,ms
